datetime,RAM,arch,bits,brand,count,cpuinfo_version,family,flags,hz_actual,hz_actual_raw,hz_advertised,hz_advertised_raw,instancetype,l3_cache_size,model,python_version,raw_arch_string,region,runtime,stepping,timezone,vendor_id,l1_data_cache_size,l1_instruction_cache_size,l2_cache_size,extended_model,l2_cache_associativity,l2_cache_line_size,extended_family
28/5/2019 1:36,8,X86_64,64,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,8,"[5, 0, 0]",6,"['acpi', 'aes', 'apic', 'avx', 'clflush', 'cmov', 'cx16', 'cx8', 'de', 'ds_cpl', 'dtes64', 'dts', 'est', 'f16c', 'fma', 'fpu', 'fxsr', 'ht', 'lm', 'mca', 'mce', 'mmx', 'monitor', 'movbe', 'msr', 'mtrr', 'nx', 'osxsave', 'pae', 'pat', 'pbe', 'pcid', 'pclmulqdq', 'pdcm', 'pdpe1gb', 'pge', 'pni', 'popcnt', 'pse', 'pse36', 'rdrand', 'rdtscp', 'sep', 'ss', 'sse', 'sse2', 'sse4_1', 'sse4_2', 'ssse3', 'syscall', 'tm', 'tm2', 'tsc', 'tsc_deadline_timer', 'vme', 'vmx', 'x2apic', 'xsave', 'xtpr']",1.8000 GHz,"[1800000000, 0]",1.6000 GHz,"[1600000000, 0]",local-machine,256 KB,142,3.6.8.final.0 (64 bit),x86_64,local-machine,34.58003426,10,UTC,GenuineIntel,,,,,,,
28/5/2019 2:05,8,X86_64,64,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,2,"[5, 0, 0]",6,"['abm', 'aes', 'apic', 'avx', 'avx2', 'bmi1', 'bmi2', 'clflush', 'cmov', 'constant_tsc', 'cx16', 'cx8', 'de', 'erms', 'f16c', 'fma', 'fpu', 'fsgsbase', 'fxsr', 'ht', 'hypervisor', 'invpcid', 'invpcid_single', 'kaiser', 'lahf_lm', 'lm', 'mca', 'mce', 'mmx', 'movbe', 'msr', 'mtrr', 'nopl', 'nx', 'pae', 'pat', 'pcid', 'pclmulqdq', 'pge', 'pni', 'popcnt', 'pse', 'pse36', 'rdrand', 'rdtscp', 'rep_good', 'sep', 'smep', 'sse', 'sse2', 'sse4_1', 'sse4_2', 'ssse3', 'syscall', 'tsc', 'tsc_deadline_timer', 'vme', 'x2apic', 'xsave', 'xsaveopt', 'xtopology']",2.3001 GHz,"[2300062000, 0]",2.3000 GHz,"[2300000000, 0]",t2.large,46080 KB,79,3.6.5.final.0 (64 bit),x86_64,us-east-1,40.10369611,1,UTC,GenuineIntel,32 KB,32 KB,256 KB,,,,
28/5/2019 2:06,8,X86_64,64,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,2,"[5, 0, 0]",6,"['abm', 'aes', 'apic', 'avx', 'avx2', 'bmi1', 'bmi2', 'clflush', 'cmov', 'constant_tsc', 'cx16', 'cx8', 'de', 'erms', 'f16c', 'fma', 'fpu', 'fsgsbase', 'fxsr', 'ht', 'hypervisor', 'invpcid', 'invpcid_single', 'kaiser', 'lahf_lm', 'lm', 'mca', 'mce', 'mmx', 'movbe', 'msr', 'mtrr', 'nopl', 'nx', 'osxsave', 'pae', 'pat', 'pcid', 'pclmulqdq', 'pge', 'pni', 'popcnt', 'pse', 'pse36', 'rdrand', 'rdrnd', 'rdtscp', 'rep_good', 'sep', 'smep', 'sse', 'sse2', 'sse4_1', 'sse4_2', 'ssse3', 'syscall', 'tsc', 'tsc_deadline_timer', 'tscdeadline', 'vme', 'x2apic', 'xsave', 'xsaveopt', 'xtopology']",2.3001 GHz,"[2300062000, 0]",2.3000 GHz,"[2300000000, 0]",t2.large,46080 KB,79,3.6.5.final.0 (64 bit),x86_64,us-east-1,38.95549989,1,UTC,GenuineIntel,32 KB,32 KB,256 KB,4.0,0x100,6.0,
28/5/2019 2:07,8,X86_64,64,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,2,"[5, 0, 0]",6,"['abm', 'aes', 'apic', 'avx', 'avx2', 'bmi1', 'bmi2', 'clflush', 'cmov', 'constant_tsc', 'cx16', 'cx8', 'de', 'erms', 'f16c', 'fma', 'fpu', 'fsgsbase', 'fxsr', 'ht', 'hypervisor', 'invpcid', 'invpcid_single', 'kaiser', 'lahf_lm', 'lm', 'mca', 'mce', 'mmx', 'movbe', 'msr', 'mtrr', 'nopl', 'nx', 'osxsave', 'pae', 'pat', 'pcid', 'pclmulqdq', 'pge', 'pni', 'popcnt', 'pse', 'pse36', 'rdrand', 'rdrnd', 'rdtscp', 'rep_good', 'sep', 'smep', 'sse', 'sse2', 'sse4_1', 'sse4_2', 'ssse3', 'syscall', 'tsc', 'tsc_deadline_timer', 'tscdeadline', 'vme', 'x2apic', 'xsave', 'xsaveopt', 'xtopology']",2.3001 GHz,"[2300062000, 0]",2.3000 GHz,"[2300000000, 0]",t2.large,46080 KB,79,3.6.5.final.0 (64 bit),x86_64,us-east-1,38.61903071,1,UTC,GenuineIntel,32 KB,32 KB,256 KB,4.0,0x100,6.0,
28/5/2019 2:54,1,X86_64,64,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,1,"[5, 0, 0]",6,"['abm', 'aes', 'apic', 'avx', 'avx2', 'bmi1', 'bmi2', 'clflush', 'cmov', 'constant_tsc', 'cx16', 'cx8', 'de', 'erms', 'f16c', 'fma', 'fpu', 'fsgsbase', 'fxsr', 'ht', 'hypervisor', 'invpcid', 'invpcid_single', 'kaiser', 'lahf_lm', 'lm', 'mca', 'mce', 'mmx', 'movbe', 'msr', 'mtrr', 'nopl', 'nx', 'osxsave', 'pae', 'pat', 'pcid', 'pclmulqdq', 'pge', 'pni', 'popcnt', 'pse', 'pse36', 'rdrand', 'rdrnd', 'rdtscp', 'rep_good', 'sep', 'smep', 'sse', 'sse2', 'sse4_1', 'sse4_2', 'ssse3', 'syscall', 'tsc', 'tsc_deadline_timer', 'tscdeadline', 'vme', 'x2apic', 'xsave', 'xsaveopt', 'xtopology']",2.3000 GHz,"[2300036000, 0]",2.3000 GHz,"[2300000000, 0]",t2.small,46080 KB,79,3.6.5.final.0 (64 bit),x86_64,us-east-1,98.48147535,1,UTC,GenuineIntel,32 KB,32 KB,256 KB,4.0,0x100,6.0,
28/5/2019 3:01,1,X86_64,64,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,1,"[5, 0, 0]",6,"['abm', 'aes', 'apic', 'avx', 'avx2', 'bmi1', 'bmi2', 'clflush', 'cmov', 'constant_tsc', 'cx16', 'cx8', 'de', 'erms', 'f16c', 'fma', 'fpu', 'fsgsbase', 'fxsr', 'ht', 'hypervisor', 'invpcid', 'invpcid_single', 'kaiser', 'lahf_lm', 'lm', 'mca', 'mce', 'mmx', 'movbe', 'msr', 'mtrr', 'nopl', 'nx', 'pae', 'pat', 'pcid', 'pclmulqdq', 'pge', 'pni', 'popcnt', 'pse', 'pse36', 'rdrand', 'rdtscp', 'rep_good', 'sep', 'smep', 'sse', 'sse2', 'sse4_1', 'sse4_2', 'ssse3', 'syscall', 'tsc', 'tsc_deadline_timer', 'vme', 'x2apic', 'xsave', 'xsaveopt', 'xtopology']",2.3000 GHz,"[2300036000, 0]",2.3000 GHz,"[2300000000, 0]",t2.small,46080 KB,79,3.6.5.final.0 (64 bit),x86_64,us-east-1,72.46764588,1,UTC,GenuineIntel,32 KB,32 KB,256 KB,,,,
28/5/2019 3:03,1,X86_64,64,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,1,"[5, 0, 0]",6,"['abm', 'aes', 'apic', 'avx', 'avx2', 'bmi1', 'bmi2', 'clflush', 'cmov', 'constant_tsc', 'cx16', 'cx8', 'de', 'erms', 'f16c', 'fma', 'fpu', 'fsgsbase', 'fxsr', 'ht', 'hypervisor', 'invpcid', 'invpcid_single', 'kaiser', 'lahf_lm', 'lm', 'mca', 'mce', 'mmx', 'movbe', 'msr', 'mtrr', 'nopl', 'nx', 'osxsave', 'pae', 'pat', 'pcid', 'pclmulqdq', 'pge', 'pni', 'popcnt', 'pse', 'pse36', 'rdrand', 'rdrnd', 'rdtscp', 'rep_good', 'sep', 'smep', 'sse', 'sse2', 'sse4_1', 'sse4_2', 'ssse3', 'syscall', 'tsc', 'tsc_deadline_timer', 'tscdeadline', 'vme', 'x2apic', 'xsave', 'xsaveopt', 'xtopology']",2.3000 GHz,"[2300036000, 0]",2.3000 GHz,"[2300000000, 0]",t2.small,46080 KB,79,3.6.5.final.0 (64 bit),x86_64,us-east-1,65.37776589,1,UTC,GenuineIntel,32 KB,32 KB,256 KB,4.0,0x100,6.0,
28/5/2019 3:04,1,X86_64,64,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,1,"[5, 0, 0]",6,"['abm', 'aes', 'apic', 'avx', 'avx2', 'bmi1', 'bmi2', 'clflush', 'cmov', 'constant_tsc', 'cx16', 'cx8', 'de', 'erms', 'f16c', 'fma', 'fpu', 'fsgsbase', 'fxsr', 'ht', 'hypervisor', 'invpcid', 'invpcid_single', 'kaiser', 'lahf_lm', 'lm', 'mca', 'mce', 'mmx', 'movbe', 'msr', 'mtrr', 'nopl', 'nx', 'pae', 'pat', 'pcid', 'pclmulqdq', 'pge', 'pni', 'popcnt', 'pse', 'pse36', 'rdrand', 'rdtscp', 'rep_good', 'sep', 'smep', 'sse', 'sse2', 'sse4_1', 'sse4_2', 'ssse3', 'syscall', 'tsc', 'tsc_deadline_timer', 'vme', 'x2apic', 'xsave', 'xsaveopt', 'xtopology']",2.3000 GHz,"[2300036000, 0]",2.3000 GHz,"[2300000000, 0]",t2.small,46080 KB,79,3.6.5.final.0 (64 bit),x86_64,us-east-1,66.58362889,1,UTC,GenuineIntel,32 KB,32 KB,256 KB,,,,
28/5/2019 3:06,1,X86_64,64,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,1,"[5, 0, 0]",6,"['abm', 'aes', 'apic', 'avx', 'avx2', 'bmi1', 'bmi2', 'clflush', 'cmov', 'constant_tsc', 'cx16', 'cx8', 'de', 'erms', 'f16c', 'fma', 'fpu', 'fsgsbase', 'fxsr', 'ht', 'hypervisor', 'invpcid', 'invpcid_single', 'kaiser', 'lahf_lm', 'lm', 'mca', 'mce', 'mmx', 'movbe', 'msr', 'mtrr', 'nopl', 'nx', 'pae', 'pat', 'pcid', 'pclmulqdq', 'pge', 'pni', 'popcnt', 'pse', 'pse36', 'rdrand', 'rdtscp', 'rep_good', 'sep', 'smep', 'sse', 'sse2', 'sse4_1', 'sse4_2', 'ssse3', 'syscall', 'tsc', 'tsc_deadline_timer', 'vme', 'x2apic', 'xsave', 'xsaveopt', 'xtopology']",2.3000 GHz,"[2300036000, 0]",2.3000 GHz,"[2300000000, 0]",t2.small,46080 KB,79,3.6.5.final.0 (64 bit),x86_64,us-east-1,66.65238762,1,UTC,GenuineIntel,32 KB,32 KB,256 KB,,,,
28/5/2019 3:08,1,X86_64,64,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,1,"[5, 0, 0]",6,"['abm', 'aes', 'apic', 'avx', 'avx2', 'bmi1', 'bmi2', 'clflush', 'cmov', 'constant_tsc', 'cx16', 'cx8', 'de', 'erms', 'f16c', 'fma', 'fpu', 'fsgsbase', 'fxsr', 'ht', 'hypervisor', 'invpcid', 'invpcid_single', 'kaiser', 'lahf_lm', 'lm', 'mca', 'mce', 'mmx', 'movbe', 'msr', 'mtrr', 'nopl', 'nx', 'osxsave', 'pae', 'pat', 'pcid', 'pclmulqdq', 'pge', 'pni', 'popcnt', 'pse', 'pse36', 'rdrand', 'rdrnd', 'rdtscp', 'rep_good', 'sep', 'smep', 'sse', 'sse2', 'sse4_1', 'sse4_2', 'ssse3', 'syscall', 'tsc', 'tsc_deadline_timer', 'tscdeadline', 'vme', 'x2apic', 'xsave', 'xsaveopt', 'xtopology']",2.3000 GHz,"[2300036000, 0]",2.3000 GHz,"[2300000000, 0]",t2.small,46080 KB,79,3.6.5.final.0 (64 bit),x86_64,us-east-1,65.81150794,1,UTC,GenuineIntel,32 KB,32 KB,256 KB,4.0,0x100,6.0,
