,0,1,2,3
143,6.8,3.2,5.9,2.3
104,6.5,3.0,5.8,2.2
81,5.5,2.4,3.7,1.0
15,5.7,4.4,1.5,0.4
59,5.2,2.7,3.9,1.4
0,5.1,3.5,1.4,0.2
79,5.7,2.6,3.5,1.0
57,4.9,2.4,3.3,1.0
146,6.3,2.5,5.0,1.9
20,5.4,3.4,1.7,0.2
11,4.8,3.4,1.6,0.2
89,5.5,2.5,4.0,1.3
82,5.8,2.7,3.9,1.2
21,5.1,3.7,1.5,0.4
2,4.7,3.2,1.3,0.2
68,6.2,2.2,4.5,1.5
12,4.8,3.0,1.4,0.1
148,6.2,3.4,5.4,2.3
96,5.7,2.9,4.2,1.3
100,6.3,3.3,6.0,2.5
62,6.0,2.2,4.0,1.0
67,5.8,2.7,4.1,1.0
132,6.4,2.8,5.6,2.2
50,7.0,3.2,4.7,1.4
14,5.8,4.0,1.2,0.2
118,7.7,2.6,6.9,2.3
27,5.2,3.5,1.5,0.2
7,5.0,3.4,1.5,0.2
119,6.0,2.2,5.0,1.5
129,7.2,3.0,5.8,1.6
