,target
5673,4
31808,0
56266,7
21762,6
64314,9
24150,8
8177,1
25726,5
48871,1
3354,8
46980,0
64317,3
16884,9
30464,4
51707,7
68217,8
32234,3
16843,7
28016,0
58436,4
31200,9
12332,4
52030,9
15648,0
25231,3
66896,6
15057,2
7231,8
10775,3
27797,2
35553,7
41810,0
2295,6
49134,1
4546,6
60668,4
62176,2
64838,6
8102,2
48351,8
51381,3
6196,8
10586,5
27783,3
11851,0
9503,9
30601,8
58675,1
4217,7
7700,6
37933,8
60389,9
54643,7
13962,0
47201,8
15609,9
12159,6
21049,0
59851,7
22515,7
24975,7
69013,5
28880,7
50238,8
34188,3
60460,5
51687,6
47449,5
15594,5
67013,2
37073,7
46468,1
47439,7
11597,0
31300,7
47146,5
925,8
31649,5
37596,7
26931,6
8796,4
9269,0
20426,3
43465,0
39320,6
48118,2
33212,9
69471,4
5512,0
8885,0
15998,7
12827,4
14403,7
59418,0
45007,9
2470,6
37763,2
24755,0
66419,1
20806,6
57696,8
45356,8
58053,0
66808,0
24199,9
56798,7
59571,1
686,7
39469,3
20626,3
51563,1
52666,7
23268,2
48293,2
6167,7
48621,2
47499,2
32424,2
39441,1
69347,4
45051,1
28897,7
18353,8
62335,1
64010,1
33491,3
25332,2
8153,6
53045,9
24329,1
5138,4
22165,9
60122,7
60719,4
44388,3
13279,5
6902,7
11854,7
41745,2
96,7
28127,6
25128,7
33098,9
18134,6
47932,6
34105,3
30774,3
53810,9
40657,4
7718,6
37790,0
32262,4
16845,5
56983,7
21041,6
9573,4
374,9
2639,5
52075,1
27765,4
47796,1
63506,5
17480,2
35612,0
4347,0
63697,6
57410,1
35236,1
37660,2
24262,4
57879,3
9354,1
3604,1
22665,6
26258,0
38956,8
41815,5
63945,2
39226,6
43707,7
24966,1
58381,5
43606,8
13399,1
47923,0
19331,6
31415,5
42931,3
41847,5
18129,8
54064,9
21834,7
5468,0
39416,5
9531,5
38200,0
6968,0
29719,3
11468,4
21465,1
35090,2
1540,6
22439,8
29100,5
14252,1
11757,7
50503,6
55851,3
29155,5
2719,1
31965,4
36237,6
16150,7
58702,1
62709,4
40488,8
22010,2
12392,3
24611,6
33213,2
36655,9
7873,9
46558,6
19805,6
45105,1
3886,2
59149,1
43067,3
30781,8
39511,4
39518,2
49066,6
10392,7
42993,9
48105,7
54350,2
13351,6
47406,0
44478,3
15291,0
48849,3
61533,0
28808,9
10147,7
36339,4
14942,1
3169,9
42388,8
48727,0
68590,9
35065,9
13407,8
22240,6
24824,1
62285,7
67538,7
34745,2
54513,2
31193,6
28789,9
38674,9
40280,0
57088,5
43861,8
35919,7
33801,8
35993,6
38023,5
9706,3
18314,1
32307,7
40150,0
21988,4
8118,8
4711,5
2017,2
46880,1
32126,4
14974,9
33653,9
1596,0
45872,5
53008,2
19610,5
29159,7
43076,3
49525,8
4545,7
36065,5
10786,6
2648,2
56782,5
65754,9
55511,4
3913,9
44810,5
20668,5
69579,3
22832,0
33879,6
62830,6
33775,2
41209,1
56741,3
35228,5
64531,0
17494,5
3338,8
11618,3
27287,3
3566,9
42259,8
33984,6
11961,2
23982,2
59597,2
13652,9
59678,3
26502,1
54943,0
15827,9
47588,9
22918,5
2460,9
2088,3
69117,5
4605,6
52306,8
66959,0
63534,4
54752,1
36351,0
15388,3
12696,9
32519,5
1437,7
50969,3
69530,9
12516,0
68721,2
40541,6
64336,6
15080,3
34788,3
26660,8
56662,0
16812,2
24844,2
24251,3
43416,9
54401,5
6838,9
59421,0
48389,4
49862,7
15032,6
64364,5
62892,9
38018,7
19009,0
63782,8
48416,7
47871,4
36321,2
65923,4
62571,0
56750,1
40176,6
59290,2
63047,2
61427,4
39932,9
69911,0
68567,0
8676,5
45040,7
7164,0
27823,7
36942,2
56684,9
8540,0
48827,6
12826,3
33638,4
47428,5
27141,4
17179,8
65165,0
40915,0
14350,3
38784,2
23315,0
52957,6
10049,5
40980,6
57036,6
8006,4
33135,6
37968,0
63460,9
48190,7
268,2
56539,4
14142,9
57085,9
20003,3
35252,1
1609,2
69333,4
14401,3
66786,0
1363,0
37369,9
6305,5
56505,8
36671,3
44731,4
60942,6
21343,0
60195,3
61488,4
54833,0
24427,2
22473,0
16983,1
62710,7
38407,4
65681,6
54840,2
29462,5
20822,6
57830,1
13187,7
51874,5
36030,1
27033,2
23212,9
44108,1
28741,6
9404,1
15711,0
3533,9
7484,2
5265,4
48014,3
9644,7
43421,9
10580,1
1142,9
57874,9
41766,2
1502,0
22233,4
16564,3
11068,9
40784,7
63356,7
58429,2
36666,9
66333,5
40023,6
43121,8
26987,8
13166,7
4808,3
48756,8
60128,8
68583,4
50906,3
40302,9
17051,0
40124,6
49621,0
62601,6
43346,7
4113,5
59659,0
60057,1
18511,5
13992,1
17812,1
23596,4
2234,2
45676,0
26009,1
29897,1
41272,6
69720,6
3630,8
30867,8
66522,5
7886,9
4328,3
16871,7
43481,4
16032,6
13483,0
66004,8
20455,4
21779,5
6549,2
35223,7
66961,1
22279,7
42375,3
14121,2
8819,5
33243,1
33235,5
64945,9
63719,7
64182,9
18110,2
189,2
24311,8
24488,6
38310,0
67287,8
8836,1
37840,4
3710,2
49868,3
59271,3
4619,4
69906,4
34680,2
23800,2
50808,0
15196,6
6017,8
6942,8
57836,7
66935,8
48901,3
39723,4
19914,9
47633,7
69432,9
29602,3
52402,4
28398,4
24347,2
13872,0
65271,1
44750,0
48483,2
10287,7
3959,8
61602,6
26860,9
2157,4
60332,1
45713,6
3236,7
27088,4
68449,1
42440,1
7122,8
22626,7
14387,7
22775,6
49105,4
24241,8
44814,6
33402,9
27591,4
28116,5
42013,9
37095,8
21074,6
13311,7
38420,8
51463,3
68360,1
20082,4
9022,7
43114,9
2970,1
15515,8
46639,3
