,target
2017,2
44190,4
32833,6
41841,2
62520,8
65898,6
28782,8
40941,6
33948,9
26365,4
11887,0
42827,5
41825,4
26395,7
66006,7
34264,1
53845,9
68412,5
30554,4
42844,7
61994,1
46264,7
16985,4
62335,1
58529,9
67558,0
29514,1
2555,8
14501,4
26223,9
53371,1
68023,0
9532,9
16497,2
62285,7
1522,9
44253,5
43956,7
35709,6
33759,7
55216,7
61157,4
16159,1
2281,5
45835,7
45154,6
35164,5
41013,8
47176,8
60170,4
56639,0
5634,6
11213,8
43949,4
7457,5
60265,1
31411,6
9536,4
16309,2
50184,3
59738,1
7253,1
61521,5
55323,4
32030,8
22472,4
59507,5
48642,3
61096,7
43860,7
62301,7
10625,0
14128,8
9068,6
57157,6
9132,9
65278,8
12128,1
68684,3
17776,7
25205,8
40229,6
27837,7
8135,3
4434,8
11330,0
21353,0
1034,2
68421,7
4508,3
56999,5
17821,2
18431,5
12723,0
38078,2
42205,1
27622,2
50076,6
47146,5
44712,4
43760,2
23625,2
69206,9
9503,9
22810,8
44878,9
4048,5
60818,1
38040,2
14771,2
49809,3
53195,0
34479,2
58305,8
16100,7
59483,6
35032,7
25704,1
62767,3
35404,1
40587,5
28654,5
55028,3
50446,2
7003,0
68615,2
16023,8
45829,7
1131,1
63462,5
41839,1
32995,8
25130,7
36819,5
54396,7
11478,8
50822,7
10800,8
14041,1
34898,3
3910,6
14905,4
34151,8
48484,9
18277,9
24025,7
33219,0
35052,1
56175,2
2588,6
17801,4
64947,9
20820,9
14406,8
9361,8
14042,9
50742,7
41392,1
55574,1
57894,2
24835,3
10760,3
53593,1
51112,1
45843,3
60251,1
57282,7
8661,8
4558,5
65976,8
67103,3
45774,3
14426,4
64638,3
66880,5
44568,8
46730,8
67204,7
41580,4
53526,6
47881,3
44595,7
63823,2
56472,7
11062,6
21073,2
18353,8
2817,0
21857,2
5352,7
66048,7
32318,2
50583,4
24285,9
6426,5
19167,1
69243,8
43475,3
61874,5
58234,1
